Recency,Frequency,Monetary,avg_quantity_per_order,max_quantity,min_quantity,std_quantity,total_items_purchased,unique_products,unique_invoices,total_revenue,avg_order_value,max_order_value,min_order_value,std_order_value,revenue_per_item,active_days,active_months,customer_tenure_days,days_since_first_purchase,purchase_span_days,avg_days_between_orders,order_consistency,spend_consistency
71,1,60.88,7.875,16,1,5.018299844900993,126,16,1,60.88,3.805,12.5,0.83,3.783587362984147,0.4831746031746032,1,1,0,71,0,0.0,1.0,0.7954281402788734
3,13,301.88,25.007462686567163,384,2,44.05848748912546,3351,65,13,301.88,2.2528358208955224,8.5,0.42,1.8735614479270075,0.0900865413309459,13,7,357,361,357,29.75,0.0364145658263305,0.7839873487030258
142,4,289.8,8.316666666666666,24,1,6.466318646351894,499,50,4,289.8,4.83,18.0,0.55,4.41210008030689,0.5807615230460922,4,3,85,228,85,28.33333333333333,0.0470588235294117,0.8924446939876467
8,9,110.85,24.27659574468085,72,1,18.90905249926557,1141,30,9,110.85,2.358510638297872,12.75,0.0,2.9468811654264635,0.0971516213847502,9,6,359,368,359,44.875,0.0250696378830083,0.597563123753951
146,1,7.2,21.0,36,6,21.213203435596427,42,2,1,7.2,3.6,5.95,1.25,3.323401871576773,0.1714285714285714,1,1,0,146,0,0.0,1.0,0.8326776244575792
142,1,39.13,12.266666666666667,48,4,11.7075474232081,184,15,1,39.13,2.6086666666666667,5.95,0.29,2.016779138933685,0.2126630434782608,1,1,0,142,0,0.0,1.0,0.8647191413517695
299,1,24.58,17.933333333333334,25,3,8.655854060912159,269,15,1,24.58,1.6386666666666665,4.95,0.42,1.4536204390941885,0.0913754646840148,1,1,0,299,0,0.0,1.0,0.6678566254818201
52,3,305.47,9.494736842105263,36,1,6.263493831976103,902,81,3,305.47,3.2154736842105267,16.95,0.42,3.9679076345903694,0.3386585365853659,3,3,223,276,223,111.5,0.0134529147982062,0.6472490876887367
323,1,24.28,12.5,24,4,6.847234141214639,175,14,1,24.28,1.7342857142857144,3.75,0.29,1.0358847150417572,0.1387428571428571,1,1,0,323,0,0.0,1.0,0.8518585072486009
9,4,322.09,8.816666666666666,36,1,7.61906425068213,1058,114,4,322.09,2.684083333333333,12.75,0.29,2.7059469197478725,0.3044328922495274,4,3,106,116,106,35.333333333333336,0.0377358490566037,0.7242638363303757
66,11,669.69,4.103004291845494,48,1,4.862562780817878,956,150,11,669.69,2.874206008583691,16.95,0.12,2.842549606906159,0.7005125523012553,11,9,273,340,273,27.3,0.0402930402930402,0.7479945095355235
24,3,69.68,9.787878787878787,48,1,9.39666688165801,323,29,3,69.68,2.111515151515152,7.95,0.39,1.604493925689891,0.2157275541795665,3,3,180,205,180,90.0,0.0166666666666666,0.8107199370625692
25,1,139.25,10.363636363636363,24,2,6.527912098338669,342,33,1,139.25,4.21969696969697,40.0,0.42,7.309977549917853,0.4071637426900585,1,1,0,25,0,0.0,1.0,0.5077868074070407
