Customer ID,Recency,Frequency,Monetary,Churn,avg_quantity_per_order,max_quantity,min_quantity,std_quantity,total_items_purchased,unique_products,unique_invoices,total_revenue,avg_order_value,max_order_value,min_order_value,std_order_value,revenue_per_item,active_days,active_months,customer_tenure_days,days_since_first_purchase,purchase_span_days,avg_days_between_orders,order_consistency,spend_consistency
12346.0,326,1,1.04,1,74215.0,74215,74215,0.0,74215,1,1,1.04,1.04,1.04,1.04,0.0,1.4013339621370343e-05,1,1,0,326,0,0.0,1.0,1.04
12347.0,2,7,481.21,0,13.505494505494505,240,2,18.85617188780375,2458,103,7,481.21,2.644010989010989,12.75,0.25,2.255381008076303,0.19577298616761593,7,7,365,367,365,60.833333333333336,0.019178082191780823,0.812197092276277
12348.0,75,4,178.71,0,75.51612903225806,144,1,51.091989566364134,2341,22,4,178.71,5.764838709677419,40.0,0.29,13.400323347085758,0.07633917129431866,4,4,282,358,282,94.0,0.014184397163120567,0.40032703229848443
12349.0,19,1,605.1,0,8.643835616438356,36,1,6.982855717584514,631,73,1,605.1,8.289041095890411,300.0,0.42,35.02802117053271,0.9589540412044374,1,1,0,19,0,0.0,1.0,0.23007206131737293
12350.0,310,1,65.3,1,11.588235294117647,24,1,4.345382945285314,197,17,1,65.3,3.841176470588235,40.0,0.85,9.334750855240422,0.3314720812182741,1,1,0,310,0,0.0,1.0,0.37167576890743304
12352.0,36,8,1354.11,0,6.305882352941176,16,1,4.442820665093841,536,59,8,1354.11,15.93070588235294,376.5,0.65,53.70632399998194,2.5263246268656716,8,4,260,297,260,37.142857142857146,0.03076923076923077,0.291204100687851
12353.0,204,1,24.299999999999997,1,5.0,8,2,2.581988897471611,20,4,1,24.299999999999997,6.074999999999999,9.95,1.45,4.516174634946409,1.2149999999999999,1,1,0,204,0,0.0,1.0,1.1013066848016895
12354.0,232,1,261.22,1,9.137931034482758,32,1,8.832651299446644,530,58,1,261.22,4.5037931034482765,16.95,0.42,4.342805636745455,0.4928679245283019,1,1,0,232,0,0.0,1.0,0.8429640547792304
12355.0,214,1,54.65,1,18.46153846153846,96,2,27.978013345647522,240,13,1,54.65,4.203846153846154,12.75,1.25,3.4644901944863844,0.22770833333333332,1,1,0,214,0,0.0,1.0,0.9416184089815846
12356.0,23,3,188.87,0,26.966101694915253,120,2,24.624046350653558,1591,53,3,188.87,3.201186440677966,18.0,0.42,3.9638535259246632,0.1187115021998743,3,3,302,326,302,151.0,0.009933774834437087,0.6448994564322184
12357.0,33,1,438.67,0,20.671755725190838,96,1,16.324800740021583,2708,131,1,438.67,3.3486259541984733,25.0,0.39,3.548572359383803,0.16199039881831612,1,1,0,33,0,0.0,1.0,0.7361927412873153
12358.0,2,2,157.21,0,13.052631578947368,36,2,9.413192186208827,248,13,2,157.21,8.27421052631579,40.0,0.39,11.483583120548642,0.6339112903225806,2,2,149,151,149,149.0,0.013422818791946308,0.6628073403617587
12359.0,58,4,2122.81,0,6.56734693877551,25,1,5.022139009177348,1609,214,4,2122.81,8.664530612244898,145.0,0.29,20.736230674501794,1.3193349906774394,4,4,274,332,274,91.33333333333333,0.014598540145985401,0.3986215798863891
12360.0,52,3,457.90999999999997,0,9.031007751937985,36,2,4.868486007759694,1165,105,3,457.90999999999997,3.5496899224806198,40.0,0.42,6.400394389457637,0.39305579399141627,3,3,148,201,148,74.0,0.02027027027027027,0.479662263343342
